id,review,sentiment,bio_tagged_review
1,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
2,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
3,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
4,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
5,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
6,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
7,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
8,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
9,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
10,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
11,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
12,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
13,ফেস ওয়াশ টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ফেস-B ওয়াশ-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
14,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
15,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
16,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
17,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
18,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
19,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
20,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
21,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
22,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
23,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
24,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
25,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
26,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
27,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
28,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
29,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
30,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
31,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
32,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
33,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ফেস-B ওয়াশ-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
34,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ফেস-B ওয়াশ-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
35,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
36,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
37,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
38,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
39,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
40,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
41,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
42,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
43,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ফেস-B ওয়াশ-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
44,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
45,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
46,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
47,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
48,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ফেস-B ওয়াশ-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
49,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
50,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
51,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
52,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
53,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
54,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ফেস-B ওয়াশ-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
55,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
56,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
57,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
58,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ফেস-B ওয়াশ-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
59,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
60,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ফেস-B ওয়াশ-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
61,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
62,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
63,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
64,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
65,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
66,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ফেস-B ওয়াশ-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
67,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
68,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
69,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
70,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
71,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
72,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
73,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ফেস-B ওয়াশ-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
74,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
75,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
76,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
77,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ফেস-B ওয়াশ-I টি হাতে পেয়েছি। মোটামুটি ভালো।
78,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
79,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
80,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
81,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
82,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ফেস-B ওয়াশ-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
83,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
84,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ফেস-B ওয়াশ-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
85,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
86,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ফেস-B ওয়াশ-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
87,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
88,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2,ফেস-B ওয়াশ-I টি খুব কাজের। দাম অনুযায়ী দারুণ।
