ID,REVIEW,ENTITY_TAGGED_REVIEW,ENTITY_SENTIMENT
35,ছবির সাথে পন্যের মিল আছে। খুব সুন্দর আর কাপড়ের মান ও ভাল৷ সবাই নিতে পারেন৷,ছবির সাথে _NE_পন্যের মিল আছে।খুব সুন্দর আর কাপড়ের মান ও ভাল ভাল।সবাই নিতে পারেন।,2
36,"ড্রেস টা অনেক সুন্দর, অসংখ্য ধন্যবাদ ডেলিভারি খুব দ্রুত দেয়ার জন্য ",_NE_ড্রেস টা অনেক সুন্দর অসংখ্য ধন্যবাদ ডেলিভারি ডেলিভারি খুব দ্রুত দেয়ার দেয়ার,2
37,"জাস্ট,অসাধরন ড্রেসটা ?।আমার খুবই পছন্দ  হয়েছে??❤️❤️❤️",জাস্ট অসাধরন অসাধরন _NE_ড্রেসটা ?।আমার খুবই হয়েছে??❤ হয়েছে??❤ ❤,2
71,অসাধারণ বই। সবার পড়া উচিত,অসাধারণ _NE_বই। সবার পড়া উচিত,2
76,"ড্রেসটা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।
অনেক ধন্যবাদ দারাজ এবং গ্লাম টাচ",_NE_ড্রেসটা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি পেয়েছি। অনেক ধন্যবাদ দারাজ এবং গ্লাম টাচ,2
119,বইটিতে সহজ ও সাবলীলভাবে লেখা হয়েছে।,_NE_বইটিতে সহজ ও সাবলীলভাবে লেখা হয়েছে।,1
220,ড্রেসটা সুন্দর ছিলো। সবাই নিতে পারেন আর কাপড় টাও খুবই ভালো। পুরো সেম ছবির সাথে,_NE_ড্রেসটা সুন্দর ছিলো।সবাই নিতে পারেন আর কাপড় টাও খুবই ভালো ভালো।পুরো সেম ছবির সাথে,2
225,দাম অনুযায়ী প্রোডাক্ট ভালো না। কোয়ালিটি আরো ভালো হওয়া উচিত ছিল।,দাম অনুযায়ী _NE_প্রোডাক্ট ভালো না।কোয়ালিটি আরো ভালো হওয়া উচিত উচিত ছিল।,0
232,"জামাটা অনেক অনেক সুন্দর, আপনারা চাইলে নিতে পারেন ",_NE_জামাটা অনেক অনেক সুন্দর আপনারা চাইলে নিতে নিতে পারেন,2
262,বইটি পড়ে আমার খুব ভাল লাগছে।,_NE_বইটি পড়ে আমার খুব ভাল লাগছে।,2
347,ঈমানের শাখা-প্রশাখা নিয়ে বিস্তারিত একটি বই।,ঈমানের শাখা-প্রশাখা নিয়ে বিস্তারিত একটি _NE_বই।,2
375,"
দামের তুলনায় জামাটা অনেক সুন্দর হয়েছে, সবাই নিতে পারেন, ধন্যবাদ সেলারকে",দামের তুলনায় _NE_জামাটা অনেক সুন্দর হয়েছে সবাই নিতে পারেন ধন্যবাদ ধন্যবাদ,2
482,অত্যন্ত সুন্দর বইটা। সবার পড়া দরকার,অত্যন্ত সুন্দর _NE_বইটা। সবার পড়া দরকার,2
504,ভালো বই সবার জন্য রিকমেন্ড করব,ভালো _NE_বই সবার জন্য রিকমেন্ড করব,2
660,বইটি খুঁজছিলাম। নিয়ে নিলাম গতকাল। ধন্যবাদ।,_NE_বইটি খুঁজছিলাম। নিয়ে নিলাম গতকাল। ধন্যবাদ।,1
897,বেশি সুন্দর ড্রেসটা... যেই কালার চেয়েছি ঠিক সেটাই পেয়েছি .।আলহামদুলিল্লাহ ??,বেশি সুন্দর _NE_ড্রেসটা ... যেই যেই চেয়েছি ঠিক ঠিক পেয়েছি পেয়েছি ।আলহামদুলিল্লাহ ?? ??,2
901,"অসম্ভব সুন্দর ড্রেস, seller behavior Mashallah ??❤️",অসম্ভব সুন্দর _NE_ড্রেস বিক্রেতার আচরণ মশাল্লাহ ??❤,2
918,"যথেষ্ট ভালো
জামাটা ছবিতে যেমন বআস্তবেও তেমনি..
সাইজও ঠিক ঠাক আছে..
ধন্যবাদ সেলার..",যথেষ্ট ভালো _NE_জামাটা ছবিতে যেমন বআস্তবেও তেমনি .. সাইজও ঠিক ঠাক আছে .. ধন্যবাদ সেলার ..,2
921,"ধন্যবাদ,  সেলার ও দারাজকে। ড্রেসটি যেমন উপস্থাপন করেছে, তেমন দিয়েছে। ",ধন্যবাদ সেলার ও দারাজকে।_NE_ড্রেসটি যেমন উপস্থাপন করেছে তেমন তেমন।।।,2
