id,review,sentiment,bio_tagged_review
1,ফেস ওয়াশ এর মান খুব ভালো।,2,ফেস-B ওয়াশ-I এর মান খুব ভালো।
2,হতাশ ফেস ওয়াশ দেখে।,0,হতাশ ফেস-B ওয়াশ-I দেখে।
3,ফেস ওয়াশ এর মেয়াদ নেই।,0,ফেস-B ওয়াশ-I এর মেয়াদ নেই।
4,"ধন্যবাদ, ফেস ওয়াশ খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ফেস-B ওয়াশ-I খুব কাজে দিয়েছে।"
5,ঠিকমতো ফেস ওয়াশ পাইনি।,0,ঠিকমতো ফেস-B ওয়াশ-I পাইনি।
6,ঠিক আছে ফেস ওয়াশ।,1,ঠিক আছে ফেস-B ওয়াশ-I।
7,ঠিকমতো ফেস ওয়াশ পাইনি।,0,ঠিকমতো ফেস-B ওয়াশ-I পাইনি।
8,হতাশ ফেস ওয়াশ দেখে।,0,হতাশ ফেস-B ওয়াশ-I দেখে।
9,ফেস ওয়াশ একদম ফালতু।,0,ফেস-B ওয়াশ-I একদম ফালতু।
10,হাতে পেলাম ফেস ওয়াশ।,1,হাতে পেলাম ফেস-B ওয়াশ-I।
11,অরিজিনাল ফেস ওয়াশ পেয়ে খুশি।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়ে খুশি।
12,ঠিক আছে ফেস ওয়াশ।,1,ঠিক আছে ফেস-B ওয়াশ-I।
13,ফেস ওয়াশ এর মান খুব ভালো।,2,ফেস-B ওয়াশ-I এর মান খুব ভালো।
14,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
15,অরিজিনাল ফেস ওয়াশ পেয়ে খুশি।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়ে খুশি।
16,"টাকা নষ্ট, ফেস ওয়াশ ভালো কাজ করে না।",0,"টাকা নষ্ট, ফেস-B ওয়াশ-I ভালো কাজ করে না।"
