id,review,sentiment
1,"এই ফেস ওয়াশটা আমার ত্বকের জন্য দারুণ কাজ করে।",2
2,"ফেস ওয়াশটা ভালোই কিন্তু দামটা একটু বেশি মনে হলো।",1
3,"ফেস ওয়াশটা মোটেও ভালো না, ত্বক শুষ্ক করে ফেলে।",0
4,"এই ফেস ওয়াশ ব্যবহার করে আমার ব্রণ কমেছে।",2
5,"ফেস ওয়াশটা নরমাল স্কিনের জন্য ঠিক আছে।",1
6,"খুবই বাজে ফেস ওয়াশ, মুখে জ্বালাপোড়া করে।",0
7,"ফেস ওয়াশটা অসাধারণ, একদম মসৃণ ত্বক পেয়েছি।",2
8,"দাম অনুযায়ী ফেস ওয়াশটা মোটামুটি ভালো।",1
9,"ফেস ওয়াশটা নকল মনে হচ্ছে, বারকোড মেলে না।",0
10,"আমি এই ফেস ওয়াশ বারবার কিনছি, খুবই ভালো।",2
11,"ফেস ওয়াশটা অনেক সফট, ত্বক পরিষ্কার করে ভালো।",2
12,"ফেস ওয়াশটা ইউজ করে এলার্জি হয়েছে।",0
13,"ফেস ওয়াশটা যেমন দেখছি তেমনই পেয়েছি।",1
14,"অসাধারণ ফেস ওয়াশ, ফ্রেশ লাগে।",2
15,"ফেস ওয়াশটা আমার স্কিন টাইপের সাথে মানায় না।",1
16,"একদম বাজে ফেস ওয়াশ, টাকা নষ্ট।",0
17,"ফেস ওয়াশটা ব্যবহার করে খুবই সন্তুষ্ট।",2
18,"ফেস ওয়াশটার গন্ধটা একটু বেশি কেমিক্যাল লাগে।",1
19,"ফেস ওয়াশটা ফেইক, অরিজিনাল দেয়নি।",0
20,"এই ফেস ওয়াশটা দিয়ে মুখ ধুয়ে ফ্রেশ লাগে।",2
21,"ফেস ওয়াশটা ভালো, তবে ফেনা কম হয়।",1
22,"ফেস ওয়াশটা আমার ব্রণের জন্য কাজ করেনি।",0
23,"ফেস ওয়াশটা দারুণ, ত্বক গ্লো করে।",2
24,"ফেস ওয়াশটা মোটামুটি, আরো ভালো আশা করেছিলাম।",1
25,"নকল ফেস ওয়াশ দিয়ে প্রতারণা করেছে।",0
26,"ফেস ওয়াশটা ব্যবহার করে ত্বক নরম হয়েছে।",2
27,"ফেস ওয়াশটার প্যাকেট খোলা ছিল, সন্দেহজনক।",1
28,"ভীষণ খারাপ ফেস ওয়াশ, মুখে দাগ পড়েছে।",0
29,"ফেস ওয়াশটা আমার রেগুলার ক্লিনজার হয়ে গেছে।",2
30,"ফেস ওয়াশটা মোটামুটি কাজ করে, কিন্তু বেশি আশা করবেন না।",1
31,"একেবারেই অকার্যকর ফেস ওয়াশ, কোনো ফল পাইনি।",0
32,"ফেস ওয়াশটা সুপার, ত্বক পরিষ্কার এবং সতেজ।",2
33,"ফেস ওয়াশটা দামের তুলনায় ঠিক আছে।",1
34,"এই ফেস ওয়াশ ব্যবহার করায় চুলকানি হয়।",0
35,"ফেস ওয়াশটা অনেক ভালো, সবাইকে রেকমেন্ড করছি।",2
36,"ফেস ওয়াশটার মান তেমন ভালো না।",1
37,"একদম ফালতু ফেস ওয়াশ, টাকা ফেরত চাই।",0
38,"ফেস ওয়াশটা ব্যবহার করে ত্বক মসৃণ হয়েছে।",2
39,"ফেস ওয়াশটা নরমাল, বিশেষ কিছু না।",1
40,"ফেস ওয়াশটা মুখে লাগালে পোড়ার মতো অনুভূতি হয়।",0
41,"অরিজিনাল ফেস ওয়াশ পেয়েছি, খুব খুশি।",2
42,"ফেস ওয়াশটা ভালো কিন্তু অ্যালার্জি করেছে।",1
43,"একদম বাজে প্রোডাক্ট, ফেস ওয়াশ নিয়ে লজ্জা লাগে।",0
44,"ফেস ওয়াশটা অসাধারণ, স্কিন এত স্মুথ আগে ছিল না।",2
45,"ফেস ওয়াশটা ঠিকই আছে, চলে।",1
46,"ফেস ওয়াশটা নষ্ট অবস্থায় এসেছে।",0
47,"এই ফেস ওয়াশটা আমার ত্বকের জন্য পারফেক্ট।",2
48,"ফেস ওয়াশটার ঘ্রাণ ভালো লাগে না।",1
49,"ফেস ওয়াশটা ব্যবহার করে মুখ শুষ্ক হয়ে যায়।",0
50,"ফেস ওয়াশটা খুবই ভালো, আবার কিনব।",2
51,"ফেস ওয়াশটা মোটামুটি মানের।",1
52,"একদম অকেজো ফেস ওয়াশ, কোনো কাজের না।",0
53,"ফেস ওয়াশটা ব্যবহার করে অনেক আরাম পেয়েছি।",2
54,"ফেস ওয়াশটা দাম হিসেবে ঠিক আছে।",1
55,"ফেস ওয়াশটা ইউজ করেই চেহারা উজ্জ্বল হয়েছে।",2
56,"ফেস ওয়াশটা খারাপ না, তবে অন্য ভালো আছে।",1
