id,review,sentiment
1,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
2,ফেস ওয়াশ এর প্যাকেট ছেঁড়া ছিল।,0
3,ফেস ওয়াশ এর প্যাকেট ছেঁড়া ছিল।,0
4,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
5,ফেস ওয়াশ সম্পর্কে এখনই কিছু বলতে পারছি না।,1
6,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
7,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
8,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
9,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
10,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
11,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
12,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
13,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
14,"ফেস ওয়াশ পেয়েছি, দেখা যাক কেমন হয়।",1
15,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
16,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
17,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
18,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
19,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
20,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
21,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
22,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
23,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
24,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
25,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
26,ফেস ওয়াশ ছবির সাথে মিল পাইনি।,0
27,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
28,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
29,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
30,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
31,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
32,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
33,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
34,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
35,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
36,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
37,ফেস ওয়াশ ব্যবহার করে ভালো ফল পেয়েছি।,2
38,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
39,আজ ফেস ওয়াশ হাতে পেলাম। খুব সন্তুষ্ট।,2
40,ফেস ওয়াশ হাতে পেয়েছি। পরে ব্যবহার করব।,1
41,ফেস ওয়াশ এর মান তেমন ভালো লাগেনি।,0
42,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
43,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
44,ফেস ওয়াশ হাতে পেয়েছি। পরে ব্যবহার করব।,1
45,ফেস ওয়াশ অরিজিনাল মনে হয়েছে। সবাই নিতে পারেন।,2
46,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
47,ফেস ওয়াশ কম দামে ভালো প্রোডাক্ট। ধন্যবাদ সেলারকে।,2
48,ফেস ওয়াশ অনেক ভালো ছিল। দাম অনুযায়ী দারুণ।,2
