id,review,sentiment,bio_tagged_review
1,জঘন্য ফেস ওয়াশ দিয়েছে। খুবই হতাশ।,0,জঘন্য ফেস-B ওয়াশ-I দিয়েছে। খুবই হতাশ।
2,১০০% অরিজিনাল ফেস ওয়াশ পেয়েছি। খুবই পছন্দ হয়েছে।,2,১০০% অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। খুবই পছন্দ হয়েছে।
3,ফেস ওয়াশ টা দাম অনুযায়ী ঠিক আছে। আরেকটু ভালো আশা করেছিলাম।,1,ফেস-B ওয়াশ-I টা দাম অনুযায়ী ঠিক আছে। আরেকটু ভালো আশা করেছিলাম।
4,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, ভালো তো বটেই।",2,"ফেস-B ওয়াশ-I নিয়ে নতুন কি আর বলব, ভালো তো বটেই।"
5,অসাধারণ ফেস ওয়াশ পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।,2,অসাধারণ ফেস-B ওয়াশ-I পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।
6,নকল ফেস ওয়াশ দিয়েছে। কাজ করে না।,0,নকল ফেস-B ওয়াশ-I দিয়েছে। কাজ করে না।
7,দারুন ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,দারুন ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
8,ফেস ওয়াশ গুলো বেশ ভালোই ছিল।,2,ফেস-B ওয়াশ-I গুলো বেশ ভালোই ছিল।
9,অরিজিনাল ফেস ওয়াশ পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।
10,অসাধারণ ফেস ওয়াশ পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।,2,অসাধারণ ফেস-B ওয়াশ-I পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।
